TRADENAME,ADDRESS,LICENCETYPES,COMDISTNM,JOBSTATUSDESC,JOBCREATED,longitude,latitude,location,Count,,
HONG HUNG CO,#5 2650 36 ST SE,FOOD SERVICE - PREMISES,FOREST LAWN,RENEWAL LICENSED,12/06/1995 12:00:00 AM,-113.981146857921,51.03091689967,"(51.03091689967, -113.981146857921)",1,,
RUSSIAN STORE,#5 523 WOODPARK BV SW,FOOD SERVICE - PREMISES,WOODLANDS,RENEWAL LICENSED,10/24/2005 12:00:00 AM,-114.109631131953,50.9407820495537,"(50.9407820495537, -114.109631131953)",1,,
SANDSTONE PHARMACIES DOVER,#4 3525 26 AV SE,FOOD SERVICE - PREMISES,DOVER,LICENSED,02/17/2017 12:00:00 AM,-113.983031864865,51.0299378302388,"(51.0299378302388, -113.983031864865)",1,,
M & M FOOD MARKET,#8 277 SHAWVILLE BV SE,FOOD SERVICE - PREMISES,SHAWNESSY,LICENSED,11/25/2016 12:00:00 AM,-114.06555605144,50.9013288512451,"(50.9013288512451, -114.06555605144)",1,,
SHOPPERS DRUG MART #2361,2412 4 ST SW,FOOD SERVICE - PREMISES,MISSION,RENEWAL LICENSED,01/19/2009 12:00:00 AM,-114.070951278826,51.031244763781,"(51.031244763781, -114.070951278826)",1,,
SHEFIELD EXPRESS,#140 140 4 AV SW,FOOD SERVICE - PREMISES,DOWNTOWN COMMERCIAL CORE,RENEWAL LICENSED,11/18/2015 12:00:00 AM,-114.064377128967,51.0500690503712,"(51.0500690503712, -114.064377128967)",1,,
CHEN'S GINSENG COMPANY,#9 1423 CENTRE ST NW,FOOD SERVICE - PREMISES,CRESCENT HEIGHTS,EXPIRED,04/27/2016 12:00:00 AM,-114.063195339124,51.064893067416,"(51.064893067416, -114.063195339124)",1,,
CANADIAN TIRE,5200 RICHMOND RD SW,FOOD SERVICE - PREMISES,GLENBROOK,RENEWAL LICENSED,03/26/2003 12:00:00 AM,-114.162727351723,51.019085262409,"(51.019085262409, -114.162727351723)",1,,
SURFSET YYC,#120 5403 CROWCHILD TR NW,FOOD SERVICE - PREMISES,VARSITY,RENEWAL LICENSED,11/30/2015 12:00:00 AM,-114.165326188021,51.1037658647781,"(51.1037658647781, -114.165326188021)",1,,
PEPPINO GOURMET,717 2 AV NE,FOOD SERVICE - PREMISES,BRIDGELAND/RIVERSIDE,RENEWAL LICENSED,11/03/2011 12:00:00 AM,-114.046623665473,51.054522089638,"(51.054522089638, -114.046623665473)",1,,
HUNTERHORN PHARMACY,6558 4 ST NE,FOOD SERVICE - PREMISES,HUNTINGTON HILLS,RENEWAL LICENSED,10/06/2015 12:00:00 AM,-114.056068505404,51.1115985641814,"(51.1115985641814, -114.056068505404)",1,,
IRONSIDE FITNESS,#114 8060 SILVER SPRINGS BV NW,FOOD SERVICE - PREMISES,SILVER SPRINGS,PENDING RENEWAL,06/16/2014 12:00:00 AM,-114.204595404811,51.1164186982086,"(51.1164186982086, -114.204595404811)",1,,
S A MEAT SHOPS,#106 2120 KENSINGTON RD NW,FOOD SERVICE - PREMISES,WEST HILLHURST,RENEWAL LICENSED,01/27/2004 12:00:00 AM,-114.109139726113,51.0528582014526,"(51.0528582014526, -114.109139726113)",1,,
CALGARY CO-OP WINES & SPIRITS - SOUTH TRIAL,#40 4307 130 AV SE,FOOD SERVICE - PREMISES,MCKENZIE TOWNE,RENEWAL LICENSED,10/20/2009 12:00:00 AM,-113.973089150117,50.9304024468289,"(50.9304024468289, -113.973089150117)",1,,
SHOPPERS DRUG MART #2449,210 ASPEN GLEN LD SW,FOOD SERVICE - PREMISES,ASPEN WOODS,RENEWAL LICENSED,12/19/2012 12:00:00 AM,-114.205487963797,51.038861540456,"(51.038861540456, -114.205487963797)",1,,
"NESTLE PROFESSIONAL VITALITY, A DIVISION OF NESTLE CANADA",#3 112 FREEPORT CR NE,FOOD SERVICE - PREMISES,STONEY 2,LICENSED,08/11/2015 12:00:00 AM,-114.027442947642,51.1446536859592,"(51.1446536859592, -114.027442947642)",1,,
DRAGON PALACE RESTAURANT,2754 GLENMORE TR SE,FOOD SERVICE - PREMISES,OGDEN,PENDING RENEWAL,08/10/2006 12:00:00 AM,-113.99638004668,50.9810667402941,"(50.9810667402941, -113.99638004668)",1,,
NORTHMOUNT PHARMACY,1334 NORTHMOUNT DR NW,FOOD SERVICE - PREMISES,BRENTWOOD,RENEWAL LICENSED,02/05/2016 12:00:00 AM,-114.128287816127,51.0931445003575,"(51.0931445003575, -114.128287816127)",1,,
CHAN LEE'S TAEKWONDO,#211 20 COUNTRY HILLS LD NW,FOOD SERVICE - PREMISES,COUNTRY HILLS,RENEWAL LICENSED,10/15/2002 12:00:00 AM,-114.072575721085,51.1426460982871,"(51.1426460982871, -114.072575721085)",1,,
DSI,#12 3510 27 ST NE,FOOD SERVICE - PREMISES,HORIZON,RENEWAL LICENSED,11/17/2010 12:00:00 AM,-113.993916792361,51.0845447234554,"(51.0845447234554, -113.993916792361)",1,,
HARVEST CONVENIENCE,#1 33 HARVEST HILLS DR NE,FOOD SERVICE - PREMISES,HARVEST HILLS,RENEWAL LICENSED,11/27/2003 12:00:00 AM,-114.050292717753,51.1508995058799,"(51.1508995058799, -114.050292717753)",1,,
REXALL / PHARMA PLUS PHARMACIES #7277,1905 20 AV NW,FOOD SERVICE - PREMISES,BANFF TRAIL,LICENSED,08/02/2016 12:00:00 AM,-114.105002853863,51.070270503541,"(51.070270503541, -114.105002853863)",1,,
PANAGO PIZZA,837 17 AV SW,FOOD SERVICE - PREMISES,MOUNT ROYAL LOWER,RENEWAL LICENSED,11/09/2000 12:00:00 AM,-114.081537102456,51.0376407631396,"(51.0376407631396, -114.081537102456)",1,,
COCOCO CHOCOLATIERS,#224 315 8 AV SW,FOOD SERVICE - PREMISES,DOWNTOWN COMMERCIAL CORE,RENEWAL LICENSED,09/09/2013 12:00:00 AM,-114.069011476438,51.0452428154046,"(51.0452428154046, -114.069011476438)",1,,
BENGAL GROCERY,#722 5075 FALCONRIDGE BV NE,FOOD SERVICE - PREMISES,WESTWINDS,LICENSED,05/03/2017 12:00:00 AM,-113.962879095948,51.0970020955038,"(51.0970020955038, -113.962879095948)",1,,
AB LIQUOR OUTLET,#114 1725 32 AV NE,FOOD SERVICE - PREMISES,SOUTH AIRWAYS,RENEWAL LICENSED,03/13/2012 12:00:00 AM,-114.016825869633,51.0805981764925,"(51.0805981764925, -114.016825869633)",1,,
WAL-MART CANADA,#1M 1212 37 ST SW,FOOD SERVICE - PREMISES,ROSSCARROCK,RENEWAL LICENSED,11/02/1994 12:00:00 AM,-114.13985192386,51.0408757411792,"(51.0408757411792, -114.13985192386)",1,,
GOODLIFE FIITNESS,#300 2929 SUNRIDGE WY NE,FOOD SERVICE - PREMISES,SUNRIDGE,RENEWAL LICENSED,10/07/2015 12:00:00 AM,-113.993832766579,51.0677979312231,"(51.0677979312231, -113.993832766579)",1,,
OLD COUNTRY BAKESHOP & DELI,5310 5 ST SE,FOOD SERVICE - PREMISES,MANCHESTER INDUSTRIAL,RENEWAL LICENSED,10/07/1994 12:00:00 AM,-114.051549983847,51.0072237507493,"(51.0072237507493, -114.051549983847)",1,,
RANCHLANDS LIQOUR STORE,#8 735 RANCHLANDS BV NW,FOOD SERVICE - PREMISES,RANCHLANDS,RENEWAL LICENSED,06/05/2006 12:00:00 AM,-114.180419560038,51.1158351339301,"(51.1158351339301, -114.180419560038)",1,,
TRI-GLEN FOOD MARKET,4710 26 AV SW,FOOD SERVICE - PREMISES,GLENDALE,RENEWAL LICENSED,04/19/2002 12:00:00 AM,-114.153232555402,51.0308209577383,"(51.0308209577383, -114.153232555402)",1,,
MOUNT ROYAL SHELL,539 17 AV SW,FOOD SERVICE - PREMISES,CLIFF BUNGALOW,RENEWAL LICENSED,06/19/2006 12:00:00 AM,-114.073749874711,51.037650986505,"(51.037650986505, -114.073749874711)",1,,
CROWFOOT WINE & SPIRITS,#105 7460 SPRINGBANK BV SW,FOOD SERVICE - PREMISES,SPRINGBANK HILL,RENEWAL LICENSED,11/02/2012 12:00:00 AM,-114.192121741568,51.0180794231669,"(51.0180794231669, -114.192121741568)",1,,
TOPMADE ENTERPRISES,7177G 40 ST SE,FOOD SERVICE - PREMISES,FOOTHILLS,RENEWAL LICENSED,10/07/1994 12:00:00 AM,-113.977636205111,50.9910394156706,"(50.9910394156706, -113.977636205111)",1,,
MACS CONVENIENCE STORE #2111,4011 50 ST SW,FOOD SERVICE - PREMISES,GLAMORGAN,RENEWAL LICENSED,11/27/2006 12:00:00 AM,-114.16050708879,51.0170849558075,"(51.0170849558075, -114.16050708879)",1,,
ATCO BLUE FLAME KITCHEN,#1 909 11 AV SW,FOOD SERVICE - PREMISES,BELTLINE,RENEWAL LICENSED,12/23/2015 12:00:00 AM,-114.082011254748,51.0426252015608,"(51.0426252015608, -114.082011254748)",1,,
F B TRANSPORT,#200 229 33 ST NE,FOOD SERVICE - PREMISES,FRANKLIN,RENEWAL LICENSED,04/28/2016 12:00:00 AM,-113.987742090225,51.052641358101,"(51.052641358101, -113.987742090225)",1,,
ACE LIQUOR,#218 177 COUNTRY HILLS BV NW,FOOD SERVICE - PREMISES,COUNTRY HILLS,RENEWAL LICENSED,10/05/2015 12:00:00 AM,-114.071801097145,51.1483534724253,"(51.1483534724253, -114.071801097145)",1,,
H D MEATS & DELI,#4 5147 20 AV SE,FOOD SERVICE - PREMISES,FOREST LAWN INDUSTRIAL,RENEWAL LICENSED,11/01/2002 12:00:00 AM,-113.959152312308,51.0351963457572,"(51.0351963457572, -113.959152312308)",1,,
LAKEVIEW COMMUNITY ASSOCIATION,6110 34 ST SW,FOOD SERVICE - PREMISES,LAKEVIEW,RENEWAL LICENSED,10/07/1994 12:00:00 AM,-114.136193582125,50.9983642147926,"(50.9983642147926, -114.136193582125)",1,,
REXALL/PHARMA PLUS PHARMACIES #7284,#116 817 19 ST NE,FOOD SERVICE - PREMISES,MAYLAND HEIGHTS,LICENSED,07/29/2016 12:00:00 AM,-114.014536440477,51.0585720325938,"(51.0585720325938, -114.014536440477)",1,,
BRENDA PIERSON CATERING,3117 34 AV SE,FOOD SERVICE - PREMISES,DOVER,RENEWAL LICENSED,01/24/2011 12:00:00 AM,-113.990350004176,51.0224214266574,"(51.0224214266574, -113.990350004176)",1,,
LINA GIFT BASKETS,#A 2410 2 AV SE,FOOD SERVICE - PREMISES,MAYLAND,EXPIRED,05/31/2013 12:00:00 AM,-114.004177906825,51.0510202756108,"(51.0510202756108, -114.004177906825)",1,,
EDIBLE ARRANGEMENTS (SHAWNESSY),#39 275 SHAWVILLE BV SE,FOOD SERVICE - PREMISES,SHAWNESSY,RENEWAL LICENSED,01/24/2014 12:00:00 AM,-114.068012020151,50.9014299364058,"(50.9014299364058, -114.068012020151)",1,,
PURDY'S CHOCOLATES - EATON CENTRE,#249 751 3 ST SW,FOOD SERVICE - PREMISES,DOWNTOWN COMMERCIAL CORE,RENEWAL LICENSED,01/18/2010 12:00:00 AM,-114.070930647611,51.0462295329443,"(51.0462295329443, -114.070930647611)",1,,
COCO BROOKS,#500 333 SHAWVILLE BV SE,FOOD SERVICE - PREMISES,SHAWNESSY,RENEWAL LICENSED,12/04/2007 12:00:00 AM,-114.064565717009,50.8973319997527,"(50.8973319997527, -114.064565717009)",1,,
EXCHANGE GIFTS & CONVENIENCE STORE,#250 300 5 AV SW,FOOD SERVICE - PREMISES,DOWNTOWN COMMERCIAL CORE,RENEWAL LICENSED,01/24/2013 12:00:00 AM,-114.068310131867,51.0488338400624,"(51.0488338400624, -114.068310131867)",1,,
SHOPPERS DRUG MART #2356,#830 19369 SHERIFF KING ST SW,FOOD SERVICE - PREMISES,SILVERADO,RENEWAL LICENSED,01/21/2013 12:00:00 AM,-114.073355058201,50.8784886542434,"(50.8784886542434, -114.073355058201)",1,,
DAILY GLOBE NEWS,#101 1013 17 AV SW,FOOD SERVICE - PREMISES,MOUNT ROYAL LOWER,LICENSED,01/10/2017 12:00:00 AM,-114.0849837513,51.0375484080331,"(51.0375484080331, -114.0849837513)",1,,
SIGNATURE FINE FURNITURE,7271 12 ST SE,FOOD SERVICE - PREMISES,EAST FAIRVIEW INDUSTRIAL,RENEWAL LICENSED,10/24/2014 12:00:00 AM,-114.037848137325,50.9894759537949,"(50.9894759537949, -114.037848137325)",1,,
CALGARY CO-OP GAS BAR,6 HERITAGE GA SE,FOOD SERVICE - PREMISES,EAST FAIRVIEW INDUSTRIAL,RENEWAL LICENSED,02/03/2003 12:00:00 AM,-114.043623237892,50.9877456211258,"(50.9877456211258, -114.043623237892)",1,,
EVERGREEN FOOD STORE,639 14 AV SW,FOOD SERVICE - PREMISES,BELTLINE,RENEWAL LICENSED,08/19/2002 12:00:00 AM,-114.075862948116,51.0396196896744,"(51.0396196896744, -114.075862948116)",1,,
CLOVER LEAF CHEESE,1201 45 AV NE,FOOD SERVICE - PREMISES,MCCALL,RENEWAL LICENSED,10/07/1994 12:00:00 AM,-114.036215999668,51.0929420655355,"(51.0929420655355, -114.036215999668)",1,,
EDIBLE ARRANGEMENTS (CROWFOOT),#109 150 CROWFOOT CR NW,FOOD SERVICE - PREMISES,ARBOUR LAKE,EXPIRED,12/05/2011 12:00:00 AM,-114.196796566975,51.1276223844028,"(51.1276223844028, -114.196796566975)",1,,
REAL CANADIAN LIQUOR STORE #1678,#300 15915 MACLEOD TR SE,FOOD SERVICE - PREMISES,SHAWNESSY,RENEWAL LICENSED,10/14/1998 12:00:00 AM,-114.06817682544,50.9088145325621,"(50.9088145325621, -114.06817682544)",1,,
PINNOVATE DIY STUDIO,137 MAHOGANY PZ SE,FOOD SERVICE - PREMISES,MAHOGANY,LICENSED,01/26/2017 12:00:00 AM,-113.941129270569,50.89732793792,"(50.89732793792, -113.941129270569)",1,,
BRIDLEWOOD PHARMACY,#95 2525 BRIDLECREST WY SW,FOOD SERVICE - PREMISES,BRIDLEWOOD,LICENSED,08/05/2016 12:00:00 AM,-114.118109789838,50.9009765701923,"(50.9009765701923, -114.118109789838)",1,,
MANNA CATERING SERVICES,320 SHARON AV SW,FOOD SERVICE - PREMISES,SCARBORO,RENEWAL LICENSED,03/23/2002 12:00:00 AM,-114.102941215147,51.0418271191095,"(51.0418271191095, -114.102941215147)",1,,
AFC SUSHI,#400 1000 HAMPTONS DR NW,FOOD SERVICE - PREMISES,HAMPTONS,RENEWAL LICENSED,06/03/2015 12:00:00 AM,-114.130321664974,51.1415397176791,"(51.1415397176791, -114.130321664974)",1,,
WESTON BAKERIES,203 58 AV SE,FOOD SERVICE - PREMISES,MANCHESTER INDUSTRIAL,RENEWAL LICENSED,10/07/1994 12:00:00 AM,-114.061013032863,51.0001960742299,"(51.0001960742299, -114.061013032863)",1,,
WHOLE CELLARS,#8 10822 50 ST SE,FOOD SERVICE - PREMISES,EAST SHEPARD INDUSTRIAL,RENEWAL LICENSED,12/21/2015 12:00:00 AM,-113.960846707558,50.9564007586776,"(50.9564007586776, -113.960846707558)",1,,
GAS PLUS,204 11 AV SE,FOOD SERVICE - PREMISES,BELTLINE,RENEWAL LICENSED,01/12/1998 12:00:00 AM,-114.060443009703,51.0426484249257,"(51.0426484249257, -114.060443009703)",1,,
PEONY CHINESE NATURAL HERBS,#127 328 CENTRE ST SE,FOOD SERVICE - PREMISES,CHINATOWN,RENEWAL LICENSED,12/02/2015 12:00:00 AM,-114.06173560558,51.0495683812247,"(51.0495683812247, -114.06173560558)",1,,
GENERAL NUTRITION CENTRES,#153 6455 MACLEOD TR SW,FOOD SERVICE - PREMISES,MEADOWLARK PARK,PENDING RENEWAL,05/14/2009 12:00:00 AM,-114.0738360896,50.9979758797472,"(50.9979758797472, -114.0738360896)",1,,
AQSA WHOLESALE MEATS,#6 6815 TEMPLE DR NE,FOOD SERVICE - PREMISES,TEMPLE,LICENSED,05/10/2017 12:00:00 AM,-113.939111589575,51.0919967355755,"(51.0919967355755, -113.939111589575)",1,,
RUTLAND PARK COMMUNITY CENTRE,3130 40 AV SW,FOOD SERVICE - PREMISES,RUTLAND PARK,RENEWAL LICENSED,10/07/1994 12:00:00 AM,-114.135253759959,51.0183950243885,"(51.0183950243885, -114.135253759959)",1,,
D & M PHARMACY,1505 19 ST NW,FOOD SERVICE - PREMISES,HOUNSFIELD HEIGHTS/BRIAR HILL,LICENSED,09/08/2016 12:00:00 AM,-114.106747410501,51.0656656827395,"(51.0656656827395, -114.106747410501)",1,,
BOW RIVER FOODS,#5 6303 BURBANK RD SE,FOOD SERVICE - PREMISES,BURNS INDUSTRIAL,RENEWAL LICENSED,10/07/1994 12:00:00 AM,-114.047003828369,50.9983503625919,"(50.9983503625919, -114.047003828369)",1,,
KALA & LIME,#125 339 ASPEN GLEN LD SW,FOOD SERVICE - PREMISES,ASPEN WOODS,RENEWAL LICENSED,06/25/2015 12:00:00 AM,-114.208222620821,51.0402362364647,"(51.0402362364647, -114.208222620821)",1,,
LIQUOR ZONE,#8 728 NORTHMOUNT DR NW,FOOD SERVICE - PREMISES,ROSEMONT,LICENSED,01/08/2017 12:00:00 AM,-114.092434255393,51.0822989429621,"(51.0822989429621, -114.092434255393)",1,,
NILE SUPERMART,4002 17 AV SE,FOOD SERVICE - PREMISES,FOREST LAWN,RENEWAL LICENSED,10/29/2014 12:00:00 AM,-113.976781847314,51.0381639957026,"(51.0381639957026, -113.976781847314)",1,,
ARTS COMMONS,215 8 AV SE,FOOD SERVICE - PREMISES,DOWNTOWN COMMERCIAL CORE,RENEWAL LICENSED,10/07/1994 12:00:00 AM,-114.059441099516,51.0449607912859,"(51.0449607912859, -114.059441099516)",1,,
DIVINE MEALS,#20 735 RANCHLANDS BV NW,FOOD SERVICE - PREMISES,RANCHLANDS,RENEWAL LICENSED,12/18/2015 12:00:00 AM,-114.18002086494,51.1160291908637,"(51.1160291908637, -114.18002086494)",1,,
BRAZILIAN CANADIAN COFFEE 2011,#101 5760 9 ST SE,FOOD SERVICE - PREMISES,BURNS INDUSTRIAL,RENEWAL LICENSED,06/03/2015 12:00:00 AM,-114.040173467699,51.0044011969178,"(51.0044011969178, -114.040173467699)",1,,
WAH LOONG CHINESE HERB COMPANY,#1003 9650 HARVEST HILLS BV NE,FOOD SERVICE - PREMISES,AURORA BUSINESS PARK,RENEWAL LICENSED,05/09/2007 12:00:00 AM,-114.06857460327,51.1403983389547,"(51.1403983389547, -114.06857460327)",1,,
