RED WING SHOES,#3 2015 32 AV NE,"(51.0805090794563, -114.010274803475)",,
L&G SPORTS AND THERAPEUTIC MASSAGE,#12 2015 32 AV NE,"(51.0805090794563, -114.010274803475)",,
SUBWAY SANDWICHES & SALADS,1207 12 AV SW,"(51.0417896291884, -114.089418690792)",,
PLUMBFULL WAREHOUSE,#6 2015 32 AV NE,"(51.0805090794563, -114.010274803475)",,
STARBUCKS COFFEE #4504,5570 SIGNAL HILL CE SW,"(51.0203756637622, -114.169864265729)",,
DARYL-EVANS MECHANICAL,2412 91 AV SE,"(50.9717209992808, -114.003468759022)",,
T I W WESTERN,7770 44 ST SE,"(50.9837020499424, -113.969293659621)",,
LOCKED ROOM (THE),#15 2015 32 AV NE,"(51.0805090794563, -114.010274803475)",,
OUR LADY OF PERPETUAL HELP,400 EDMONTON TR NE,"(51.0554441119153, -114.051261286827)",,
CHARLESGLEN TOYOTA,7687 110 AV NW,"(51.1524584280365, -114.193747670701)",,
PLUMBFULL WAREHOUSE,#6 2015 32 AV NE,"(51.0805090794563, -114.010274803475)",,
CHOICES AT CHARLESGLEN,7687 110 AV NW,"(51.1524584280365, -114.193747670701)",,
SILVER SPRINGS COMMUNITY,5720 SILVER RIDGE DR NW,"(51.1046398649064, -114.192537230002)",,
SIMPLICIT HOME DESIGN CENTRE,#8 2015 32 AV NE,"(51.0805090794563, -114.010274803475)",,
DAWSON WALLACE CONSTRUCTION,#26 2015 32 AV NE,"(51.0805090794563, -114.010274803475)",,
ALBERTA HARDWOOD FLOORING,621 MANITOU RD SE,"(51.0098932234916, -114.050102066514)",,
MEDICINE SHOPPE #181,#11 555 HAWKWOOD BV NW,"(51.1298630969931, -114.177048317091)",,
SIERRA PLACE,706 7 AV SW,"(51.0471576183106, -114.076554775772)",,
RIDGEWAY DOOR & HARDWARE,#2 5621 BURLEIGH CR SE,"(51.0048719411495, -114.043807276233)",,
LOCKED ROOM (THE),#22 2015 32 AV NE,"(51.0805090794563, -114.010274803475)",,
MONPLAISIR DELICACIES PRODUCTION,#20 2015 32 AV NE,"(51.0805090794563, -114.010274803475)",,
MAC'S CONVENIENCE STORE,1207 12 AV SW,"(51.0417896291884, -114.089418690792)",,
SIMPLICIT HOME DESIGN CENTRE,#8 2015 32 AV NE,"(51.0805090794563, -114.010274803475)",,
FITNESS GROUP CANADA,#12 2015 32 AV NE,"(51.0805090794563, -114.010274803475)",,
METRO LUXE CUSTOM HOMES,#8 2015 32 AV NE,"(51.0805090794563, -114.010274803475)",,
MONTGOMERY COMMUNITY ASSOCIATION,5003 16 AV NW,"(51.0724215168473, -114.165261994837)",,
BEA'S BRAIDING & HAIR EXTENSIONS,222 17 AV SE,"(51.0380149460498, -114.05980363564)",,
MAJOR APPLIANCES,1683 32 AV NE,"(51.08090598363, -114.019549620382)",,
CHARLESGLEN TOYOTA,7687 110 AV NW,"(51.1524584280365, -114.193747670701)",,
GREG MARTINEAU PROJECTS,#B 2008 48 ST SE,"(51.0360150496423, -113.963497270786)",,
FITNESS GROUP CANADA,#12 2015 32 AV NE,"(51.0805090794563, -114.010274803475)",,
CANADIAN TIRE GAS BAR,5404 DALTON DR NW,"(51.1008419680966, -114.148687102046)",,
ALBERTA TENT AND AWNING,#11 3500 27 ST NE,"(51.0841293472573, -113.993910608227)",,
CANYON MEADOWS COMMUNITY,844 CANTABRIAN DR SW,"(50.9463701556439, -114.079027367365)",,
PINERIDGE HUSKY MARKET,#A 6833 26 AV NE,"(51.0758343170161, -113.936026623422)",,
WOLSELEY MECHANICAL GROUP,730 10 AV SW,"(51.044117422972, -114.078382587266)",,
INDIGO BOOKS & MUSIC,5570 SIGNAL HILL CE SW,"(51.0203756637622, -114.169864265729)",,
LOCKED ROOM (THE),#22 2015 32 AV NE,"(51.0805090794563, -114.010274803475)",,
DILLO'S PIZZA,1282 68 ST SE,"(51.0429814197175, -113.934347644441)",,
ALBERTA WHEEL REPAIR & RESTORATION,#7 666 GODDARD AV NE,"(51.0987594017329, -114.049900038393)",,
TUTTI FRUTTI FROZEN YOGURT,11668 SARCEE TR NW,"(51.1568916688473, -114.15966947988)",,
SUNFLOWER MASSAGE SPA,2750B GLENMORE TR SE,"(50.9810667402941, -113.99638004668)",,
KENSINGTON DOLLAR STORE,#101 330 10 ST NW,"(51.0551635384535, -114.085584719599)",,
HONG HUNG CO,#5 2650 36 ST SE,"(51.03091689967, -113.981146857921)",,
SILVER DRAGON RESTAURANT,106 3 AV SE,"(51.0505569376713, -114.062226597086)",,
17TH AVENUE ANIMAL HOSPITAL,233 17 AV SW,"(51.0376171384896, -114.067838405845)",,
SWEAT SCIENCE (THE),1406 9 AV SE,"(51.0401708111909, -114.030851394759)",,
BERNARD ANDERSON WHOLESALE FLORISTS,#6 2928 SUNRIDGE WY NE,"(51.0700095460628, -113.995787418063)",,
RUSSIAN STORE,#5 523 WOODPARK BV SW,"(50.9407820495537, -114.109631131953)",,
HOLLISTER #30133,#1237 6455 MACLEOD TR SW,"(50.9979758797472, -114.0738360896)",,
VICTORIA'S SECRET #1618,#13P 3625 SHAGANAPPI TR NW,"(51.0847250634681, -114.155408270939)",,
WEST THORN CUSTOM FINISHING,#5 4215 61 AV SE,"(50.9983108049779, -113.974534685038)",,
MARBANK COIN LAUNDRY,#139 920 36 ST NE,"(51.0615942039576, -113.980814729849)",,
KAWA EXPRESSO BAR,#101 1333 8 ST SW,"(51.0403211145188, -114.082059352391)",,
CALGARY PRECISION  METAL,615 35 AV NE,"(51.0838555873866, -114.049785707221)",,
FRILLY LILLY BEAUTY BOUTIQUE,#133 339 ASPEN GLEN LD SW,"(51.0402362364647, -114.208222620821)",,
TIM HORTONS #1592,4953 BARLOW TR SE,"(51.0101991165419, -114.004227599078)",,
SANDSTONE PHARMACIES DOVER,#4 3525 26 AV SE,"(51.0299378302388, -113.983031864865)",,
DC DANCE CLUB,#223 1235 26 AV SE,"(51.0300886940841, -114.035357593919)",,
SALVATION ARMY FAMILY THRIFT STORE,2880 GLENMORE TR SE,"(50.9800716939674, -113.994756856762)",,
APARTMENT BUILDING,519 4A ST NE,"(51.0568833865339, -114.051900081347)",,
CALALTA SUPPLY,#8 3800 19 ST NE,"(51.0867717602764, -114.010636406075)",,
MAHARAJAH EAST INDIAN RESTAURANT SW,#912 10 DISCOVERY RIDGE HL SW,"(51.0155035579152, -114.213101964846)",,
APARTMENT BUILDING,2621 14A ST SW,"(51.0306869882546, -114.09617971879)",,
QCD TECHNOLOGY,#2 4045 74 AV SE,"(50.9873863409887, -113.97998497139)",,
ALANNA APARTMENTS,909 2 AV NW,"(51.0556387137006, -114.081607169737)",,
NELLIE'S COSMIC CAFE,1001 17 AV SW,"(51.0376497516635, -114.084540651979)",,
GISELA APARTMENTS,1803 9 ST SW,"(51.0367064389752, -114.084700379265)",,
OPA! OF GREECE,#118 250 SHAWVILLE BV SE,"(50.9026789106135, -114.063424674159)",,
DREAM AUTO SALES CALGARY,4524 1 ST SE,"(51.0130524459968, -114.06152320648)",,
DUTCH TOUCH FLORIST,#142A 9919 FAIRMOUNT DR SE,"(50.9629615151705, -114.059758221002)",,
HORIZON HOUSING SOCIETY,215 FAIRVIEW DR SE,"(50.9806846147718, -114.064424916511)",,
GOLDEN TRIANGLE CONSTRUCTION,#110 259 MIDPARK WY SE,"(50.9120596975759, -114.063649309705)",,
WENDYS,#2 5 HERITAGE GA SE,"(50.9879594267054, -114.045757774874)",,
ULTRACUTS,5437 FALSBRIDGE DR NE,"(51.0978687086398, -113.957661484734)",,
SAIGON PASSION,#400 5075 FALCONRIDGE BV NE,"(51.0969449378775, -113.960763097509)",,
TOP DOGS MOBILE CATERING (CGY-308),412 28 ST NE,"(51.0551133119466, -113.992080619994)",,
M & M FOOD MARKET,#8 277 SHAWVILLE BV SE,"(50.9013288512451, -114.06555605144)",,
GLORIOUS NAILS & SPA,#107 920 36 ST NE,"(51.0615942039576, -113.980814729849)",,
BONAVISTA PEKING HOUSE,#171 755 LAKE BONAVISTA DR SE,"(50.9422696848118, -114.047094600374)",,
CARSTAR EXPRESS AUTO CARE,1803 11 ST SE,"(51.0367745820465, -114.037163157683)",,
SOUTHLAND PARK,10201 SOUTHPORT RD SW,"(50.9639202180781, -114.073443150499)",,
SERVPRO OF CALGARY SOUTH,5723 BURLEIGH CR SE,"(51.003246328635, -114.044204032624)",,
PHO K&B NOODLE HOUSE,806 CENTRE ST NE,"(51.0593117708681, -114.06196431757)",,
COMPASS COMPRESSION,5796 40 ST SE,"(51.0014516543979, -113.975204709977)",,
PIXIE'S CANDY PARLOUR,#207 11135 14 ST NE,"(51.1528828089544, -114.030001669538)",,
PAWS N WHEEL WASH,#210 11540 24 ST SE,"(50.9508129191703, -114.001219674648)",,
DYNAWINCH PRODUCT LINE,6771 84 ST SE,"(50.9925293035743, -113.913461026493)",,
BCD CONTRACTING / BC DRYWALL,7004S 5 ST SE,"(50.9930059295423, -114.049701227248)",,
VELVET CAFE,#101 502 25 AV NW,"(51.0754461487821, -114.071917321105)",,
CALGARY JEWISH COMMUNITY COUNCIL,1607 90 AV SW,"(50.9715442050281, -114.099187887199)",,
SHOPPERS DRUG MART #2361,2412 4 ST SW,"(51.031244763781, -114.070951278826)",,
SHEFIELD EXPRESS,#140 140 4 AV SW,"(51.0500690503712, -114.064377128967)",,
LOBLAWS CITY MARKET,10 SAGE HILL PZ NW,"(51.1698151279097, -114.151601833266)",,
KRYSTYNA SKIN CARE,#26 240 MIDPARK WY SE,"(50.9137633621434, -114.062910649424)",,
KENSINGTON PUB (THE),207 10A ST NW,"(51.0528429078427, -114.087543651682)",,
BLACKFOOT MOTORCYCLE,6 HIGHFIELD CI SE,"(51.0119945568907, -114.046562342449)",,
BOWNESS PUB,#76 7930 BOWNESS RD NW,"(51.0904428826495, -114.199922540714)",,
4TH STREET LIQUOR & WINE,1809 4 ST SW,"(51.0366811474112, -114.071824452719)",,
STARBUCKS COFFEE #4537,#310 2250 162 AV SW,"(50.9071778544455, -114.108959723522)",,
G W P WALLWORKS GROUP,424 51 AV SE,"(51.0077718264637, -114.055542942327)",,
REDBLOOM SALON,#109 638 11 AV SW,"(51.0430154698367, -114.07605340342)",,
CALGARY MUFFLER / CARLINE MUFFLER,#5 5908 MACLEOD TR SW,"(51.000992740895, -114.070411413298)",,
WITCHCRAFT HAIRSTYLING,#190 402 COLLEGIATE BV NW,"(51.0781825009678, -114.131715237588)",,
CHEN'S GINSENG COMPANY,#9 1423 CENTRE ST NW,"(51.064893067416, -114.063195339124)",,
SOLO LIQUOR STORE,#8A 4404 14 ST NW,"(51.0913741652136, -114.094178204147)",,
SOLO LIQUOR STORE (COPPERFIELD),#107 10 COPPERSTONE ST SE,"(50.9157410704627, -113.933551081572)",,
RADIANCE MED SPA,#110 13226 MACLEOD TR SE,"(50.9339149840316, -114.067130400906)",,
DIRTBELLY,#275 317 7 AV SW,"(51.0461989649344, -114.069129045822)",,
BONAVISTA ESSO 2009,759 LAKE BONAVISTA DR SE,"(50.9422696848118, -114.047094600374)",,
WESTCAN BULK TRANSPORT,3780 76 AV SE,"(50.9859300529109, -113.979973727843)",,
CLASSIC BUILDING SYSTEMS,#3 3650 19 ST NE,"(51.0848815341021, -114.01095581267)",,
CANADIAN TIRE,5200 RICHMOND RD SW,"(51.019085262409, -114.162727351723)",,
TNC PUBLISHING GROUP,#1A 6923 FARRELL RD SE,"(50.991572880908, -114.061647955137)",,
OPTIMUM WELLNESS CENTRES - WESTHILLS,#103 7370 SIERRA MORENA BV SW,"(51.0160005627629, -114.176863850034)",,
SURFSET YYC,#120 5403 CROWCHILD TR NW,"(51.1037658647781, -114.165326188021)",,
OFF GRID HEATING,#105 4712 13 ST NE,"(51.0948854021185, -114.030361570479)",,
PIO PERUVIAN ROTISSERIE CHICKEN,#104 2929 SUNRIDGE WY NE,"(51.0687550503248, -113.994586666496)",,
FERGUS & BIX RESTAURANT AND BEER MARKET,#2000 873 85 ST SW,"(51.0599029234622, -114.212045744818)",,
RIVERSTONE PUB,779 NORTHMOUNT DR NW,"(51.0824797697081, -114.095962972975)",,
TOTAL METAL WORKS,#D 9815 48 ST SE,"(50.9656496441952, -113.96522996935)",,
APARTMENT BUILDING,#5 742 KINGSMERE CR SW,"(50.9889552985634, -114.076053952294)",,
R S HAIR STUDIO,#5 4623 BOW TR SW,"(51.0485627815906, -114.153441077078)",,
GIANG FINISHING CARPENTRY,1107 55 AV NE,"(51.1017126073897, -114.038626252365)",,
CALGARY MEALS ON WHEELS,5759 80 AV SE,"(50.980255576938, -113.949142894923)",,
PEPPINO GOURMET,717 2 AV NE,"(51.054522089638, -114.046623665473)",,
APARTMENT BUILDING,6421 TRAVOIS PL NW,"(51.1094905442029, -114.06840349899)",,
ABACAL ALTA,5919 84 ST SE,"(51.0007427447484, -113.914678006257)",,
CROSSROADS MARKET,1235 26 AV SE,"(51.0300886940841, -114.035357593919)",,
KENSINGTON HOUSE,1167 KENSINGTON CR NW,"(51.0519253893056, -114.089391124665)",,
STRENGTH EDGE (THE),#1 4828 PACIFIC RD NE,"(51.0952660774498, -114.045991179564)",,
WORDFEST,1221 2 ST SW,"(51.0411099847736, -114.069073200997)",,
FOCAL POINT CUSTOM DOORS,#7 3300 14 AV NE,"(51.0657995947571, -113.987319176837)",,
HOPEWELL RESIDENTIAL MANAGEMENT,#410 2020 4 ST SW,"(51.034836313334, -114.071085134232)",,
RESTORATION TATTOO REMOVAL,#218 251 MIDPARK BV SE,"(50.9111590904232, -114.062870050042)",,
WESTCON PRECAST,4412 54 AV SE,"(51.0055453883217, -113.972381706332)",,
MIDAS AUTO SERVICE,2529 17 AV SW,"(51.0375193608301, -114.120398605252)",,
HENRY'S TREE LOT,3915 51 ST SW,"(51.0201002685241, -114.162822378821)",,
CANWEST CONCRETE CUTTING & CORING,827 46 AV SE,"(51.0114209631302, -114.043242976614)",,
BOLT SUPPLY HOUSE THE,#10 6565 40 ST SE,"(50.9956019912192, -113.977167640922)",,
PROGRESSIVE AUTOMATION,4053 11 ST SE,"(51.0179631019764, -114.037683448478)",,
TONY ROMA'S,3010 23 ST NE,"(51.0798212618482, -114.002532824411)",,
EAU CLAIRE PLACE,525 3 AV SW,"(51.0503067561331, -114.073142089119)",,
UNIVERSAL VENTILATION,#122 412 53 AV SE,"(51.0064364833322, -114.056033132162)",,
KALINKA,#8 7400 MACLEOD TR SE,"(50.9869621448781, -114.070306649057)",,
BLACK & MCDONALD*,1071 26 ST NE,"(51.0611350424374, -113.996696716693)",,
MAPLE LEAF PROPERTY MANAGEMENT,#770 220 4 AV SE,"(51.0500181056324, -114.059010340581)",,
LIFEMARK HEALTH,#240 411 1 ST SE,"(51.0488371957214, -114.061103853737)",,
CANADIAN HIGH-TECH MACHINING,4538 6 ST NE,"(51.0926921996976, -114.047886532395)",,
DEBBIE GRANT,5505 SHAGANAPPI TR NW,"(51.1027642623412, -114.146003050029)",,
APARTMENT BUILDING,208 44 AV NW,"(51.0931005633972, -114.064413188258)",,
POULIN'S PROFESSIONAL EXTERMINATING SERVICES,4801 32 ST SE,"(51.0113937984513, -113.987219576606)",,
PALOMINO SMOKEHOUSE,109 7 AV SW,"(51.0463210435785, -114.063550938252)",,
BRAKE CHECK,#189 4307 130 AV SE,"(50.9307076475543, -113.969551343138)",,
TIM HORTON'S,#400 12100 MACLEOD TR SE,"(50.944195496679, -114.069594054801)",,
JUDY'S HAIR,1506B 14 ST SW,"(51.0391674418154, -114.093988563113)",,
SHEFIELD EXPRESS #93,#117 751 3 ST SW,"(51.0462295329443, -114.070930647611)",,
CANYON MEADOWS GOLF AND COUNTRY CLUB,#A 12501 14 ST SW,"(50.9412042842328, -114.09603200378)",,
BOSTON PIZZA,140 CROWFOOT CR NW,"(51.126732967857, -114.197288010267)",,
CONTOUR COUNTER TOP SUPPLY,1345 HASTINGS CR SE,"(51.0127559219816, -114.033207776842)",,
HUNTERHORN PHARMACY,6558 4 ST NE,"(51.1115985641814, -114.056068505404)",,
IRONSIDE FITNESS,#114 8060 SILVER SPRINGS BV NW,"(51.1164186982086, -114.204595404811)",,
S A MEAT SHOPS,#106 2120 KENSINGTON RD NW,"(51.0528582014526, -114.109139726113)",,
PREMIER WINE AND SPIRITS,208E HADDON RD SW,"(50.9710182987986, -114.078523236065)",,
EPT,4772 50 AV SE,"(51.0094518232056, -113.965997397102)",,
METALSMITHS,#6K 2525 36 ST NE,"(51.0741886674399, -113.985683366276)",,
APARTMENT BUILDING,627 23 AV SW,"(51.0322587490954, -114.075252274754)",,
EDGE AUTOMOTIVE SALES,8305 BOWNESS RD NW,"(51.0890010709939, -114.206153639546)",,
WALDO'S IMAGING,123 14 ST NW,"(51.053416337338, -114.095021042813)",,
MOTION SPECIALTIES,#1 2720 12 ST NE,"(51.076388556211, -114.024332606891)",,
GLAM CREST BEAUTY,#6 2111 CENTRE ST NW,"(51.0712047217625, -114.063085709277)",,
CSB ATHLETIC CENTER,830 59 AV SE,"(51.0005182737482, -114.043307094785)",,
GRAHAM DESIGN BUILDERS LP,10909 27 ST SE,"(50.9540663788945, -113.997765598701)",,
EXCHANGE GIFTS & CONVENIENCE STORE,#250 300 5 AV SW,"(51.0488338400624, -114.068310131867)",,
MILLARVILLE CATERING,#B 14500 BANNISTER RD SE,"(50.9235875021998, -114.067066475071)",,
APARTMENT BUILDING,3822 PARKHILL ST SW,"(51.0209494863042, -114.063911135922)",,
SUBWAY 15883 MOUNT ROYAL,#101Z 4825 MOUNT ROYAL GA SW,"(51.0126033546985, -114.132719767315)",,
MPS MICRO PAINT,#1 343 FORGE RD SE,"(50.9930866541619, -114.056658891422)",,
BRITT'S LIQUOR STORE,826 68 ST NE,"(51.0591807277464, -113.934388229145)",,
TEXACANA TURBINES,6132 46 ST SE,"(50.9993414849958, -113.966945383413)",,
PROACTIVE HEALTH GROUP,#120 602 12 AV SW,"(51.0420013857159, -114.074625801041)",,
G B M TRAILER SERVICE,9300 ENDEAVOR DR SE,"(50.9692647139935, -113.891088714338)",,
CALGARY CO-OP WINES & SPIRITS - SOUTH TRIAL,#40 4307 130 AV SE,"(50.9304024468289, -113.973089150117)",,
JANETT'S AUTO BODY SERVICES,43 FARRIN AV NW,"(51.0898978484881, -114.188502345258)",,
ULTIMATE PAIN RELIEF MASSAGE THERAPY,#123 1829 RANCHLANDS BV NW,"(51.1230860871761, -114.197471937276)",,
EDON PROPERTIES,2912 MEMORIAL DR SE,"(51.0501140530466, -113.991193960882)",,
COMMWORX INTEGRATED SOLUTIONS,#140 2730 3 AV NE,"(51.05497706116, -113.996154780554)",,
AECON WATER INFRASTRUCTURE,7335 FLINT RD SE,"(50.9871716460236, -114.066652544563)",,
SHOPPERS DRUG MART #2449,210 ASPEN GLEN LD SW,"(51.038861540456, -114.205487963797)",,
"NESTLE PROFESSIONAL VITALITY, A DIVISION OF NESTLE CANADA",#3 112 FREEPORT CR NE,"(51.1446536859592, -114.027442947642)",,
TASTE OF HIMALAYAS,#38 240 MIDPARK WY SE,"(50.9137633621434, -114.062910649424)",,
ALAMO INDUSTIRES WHOLESALE,#30 5225 6 ST NE,"(51.0983817745384, -114.048886702688)",,
DRAGON PALACE RESTAURANT,2754 GLENMORE TR SE,"(50.9810667402941, -113.99638004668)",,
HOOD PACKAGING PLASTIC DIVISION,1222 34 AV SE,"(51.0240105502923, -114.03527806325)",,
CENTRAL GRAND COURT,1623 CENTRE ST NW,"(51.0664575810187, -114.063494250747)",,
MERIDIAN WINDOWS AND DOORS (ALBERTA),4624 11 ST NE,"(51.0942455670074, -114.035923996007)",,
APOLLO ELECTRONICS YU TOMMY - TECHNICIAN,4711 17 AV SE,"(51.0374124899613, -113.966403684743)",,
CARRIE'S VIP BODY CARE*,#7A 2016 25 AV NE,"(51.075472584177, -114.011205223464)",,
FREE SPIRIT DANCE,112 16 AV NW,"(51.0672165971125, -114.063367527672)",,
ST DAVIDS UNITED CHURCH,3303 CAPITOL HILL CR NW,"(51.0817818681531, -114.122864452185)",,
MANCHU WOK,#14FC 100 ANDERSON RD SE,"(50.9526117047302, -114.066230364441)",,
NORTHMOUNT PHARMACY,1334 NORTHMOUNT DR NW,"(51.0931445003575, -114.128287816127)",,
INTELLIGENT PLASTIC SOLUTIONS,3619 OGDEN RD SE,"(51.0222296961836, -114.031699377908)",,
LYNNWOOD VALUE DRUG MART,6618 20A ST SE,"(50.9938704226336, -114.009673972398)",,
PAGES ON KENSINGTON,1135 KENSINGTON RD NW,"(51.0522637866976, -114.088128085042)",,
HYATT INFINITI,46 HERITAGE MEADOWS RD SE,"(50.9850130910184, -114.033902854959)",,
DR DETAIL AUTOBODY,#2 2364 20 AV NE,"(51.0710839898425, -114.00506923311)",,
DANA DOW JEWELLERS,#317 100 ANDERSON RD SE,"(50.9526117047302, -114.066230364441)",,
NATIONAL DIABETES TRUST,#240 3700 78 AV SE,"(50.9829984827404, -113.980638147007)",,
TROTEC LASER CANADA,#2 820 28 ST NE,"(51.0589134834669, -113.992081155727)",,
PROTELEC ALARMS,4010 4 ST SE,"(51.0178691006588, -114.05175814032)",,
PETRO CANADA - FALCONRIDGE,1051 FALCONRIDGE DR NE,"(51.0995237495955, -113.957737483412)",,
CENTENNIAL MAT SERVICES,4740 104 AV SE,"(50.9607964611104, -113.96708141218)",,
VARSITY NATURAL HEALTH CENTER,#102 4616 VALIANT DR NW,"(51.0913381220596, -114.153249442457)",,
GRAPHIC ZONE,#6 2115 27 AV NE,"(51.0762273853776, -114.009854690648)",,
SAJE NATURAL WELLNESS,#1247 6455 MACLEOD TR SW,"(50.9979758797472, -114.0738360896)",,
ORIGINAL JOE'S RESTAURANT & BAR,109 8 AV SW,"(51.0452918000849, -114.063679816616)",,
PERFECT FIT CAR COVER MFG & INJECTION MOULDING,5403 44 ST SE,"(51.0061003595011, -113.970848684067)",,
CALGARY AUTO CONNECTION,9232 HORTON RD SW,"(50.9724341694821, -114.075310310475)",,
HOME IMPROVEMENT WAREHOUSE (THE),2620 CENTRE AV NE,"(51.0528722428739, -113.997029023513)",,
REGENCY HOUSE,610 4 AV SW,"(51.0498929514875, -114.07403791164)",,
HRS OF CALGARY,#268 1632 14 AV NW,"(51.0659243415046, -114.09987597665)",,
FOUNTAIN TIRE SUNRIDGE,2616 32 ST NE,"(51.0763635882315, -113.986447157655)",,
MESHI,#101 1177 11 AV SW,"(51.0428069460313, -114.088504858754)",,
OPTIKS INTERNATIONAL,#319 409 EAST HILLS BV SE,"(51.0393143537397, -113.908294123702)",,
SPA AND BODY CARE,214 4 ST NE,"(51.0540202086831, -114.051486666726)",,
FOOTHILLS FOODS,#102 3716 61 AV SE,"(50.9994465158999, -113.979498821794)",,
APARTMENT BUILDING,1820 12 AV SW,"(51.0427689610833, -114.1027568554)",,
ANGLES HAIR DESIGN,#304 3630 BRENTWOOD RD NW,"(51.0856458959105, -114.125327155633)",,
INSPECTACAR,542 38A AV SE,"(51.0199580440323, -114.054211733713)",,
FIRST CHOICE HAIRCUTTERS,7523 MACLEOD TR SW,"(50.9862649126075, -114.072435122083)",,
GRAPHIC ZONE,#6 2115 27 AV NE,"(51.0762273853776, -114.009854690648)",,
CROWFOOT HYUNDAI,700 CROWFOOT CR NW,"(51.1276620925607, -114.205772666005)",,
ENCON HOMES,5403 44 ST SE,"(51.0061003595011, -113.970848684067)",,
CHAN LEE'S TAEKWONDO,#211 20 COUNTRY HILLS LD NW,"(51.1426460982871, -114.072575721085)",,
VITEK'S AUTO WORKS,300 40 AV NE,"(51.0890759177136, -114.057059870595)",,
GUILLEVIN INTERNATIONAL COMPANY,#A 4220 BLACKFOOT TR SE,"(51.0166025255741, -114.04704848437)",,
MOUNTAIN EQUIPMENT CO-OP,830 10 AV SW,"(51.0441634219937, -114.080738112745)",,
ROYAL CONSTRUCTION,#39 3610 50 AV SE,"(51.0093910108416, -113.981077422858)",,
BONAVISTA ESSO 2009,759 LAKE BONAVISTA DR SE,"(50.9422696848118, -114.047094600374)",,
BLINK EYEWEAR - CROWFOOT,67 CROWFOOT TC NW,"(51.126978693416, -114.200542925258)",,
APARTMENT BUILDING,5012 STANLEY RD SW,"(51.0093102012512, -114.06858897006)",,
SHEFIELD EXPRESS #93,#117 751 3 ST SW,"(51.0462295329443, -114.070930647611)",,
