COMPLEX_NAME,FACILITY_TYPE,TIER,ADDRESS,ORG,TYP_OF_ORG,STEWARD,OPER,LABEL,WEBSITE,PHONE,NOTES,GYM,GYMNAST_FAC,FITNSS_WGHT,FIT_STUDIO,MULTI_PURP_ROOMS,MEET_ROOMS,INDR_POOL,OUTDR_POOL,FW_25M,FW_50M,FW_18M,LANES_POOL,TEACH_POOL,WAVE_POOL,OTHER_POOL,INDR_WAD_POOL,DIVING_TANK,SPRINGBOARD,PLATFORM,DIVE_SLIDE,PLAY_SLIDE,ROPE_SWING,STEAM,HOT_TUB,SAUNA,CLIMB_WALL,TRACK_INDR,OUTDR_WAD_POOL,SPRAY_PARK,ICE_INDR,STAND_ICE,NHL_ICE,OLYMP_ICE,FIG_SKATING,CURL_RNK,CURL_SHEETS,INDR_SURFACE,INDR_TURF,DRY_PAD,RACQFAC_INDR,SQUASH_CRTS,RAQBALL_CRTS,BADMINT_CRTS,TENNIS_CRT,OUTDR_FIELD,ARTF_TURF_OUTDR,DIAM_FAC_OUTDR,TRACK_OUTDR,PUBLIC_GLF,SEMI_PRIV_GLF,HOLE_18,HOLE_9,DRIVERANG_OUTDR,DRIVERANG_INDR,SKI_NORDICTRCK,MUNICPAL_OP,NOTPROFIT_OP,PROFIT_OP,PRIVATE_OP,longitude,latitude,location,,
Eau Claire Plaza Wading Pool & Spray Park,Outdoor Wading Pool,,139 BARCLAY PR SW,Parks,Municipal,Parks,Parks,Eau Claire Plaza Wading Pool & Spray Park,https://www.calgary.ca/CSPS/Parks/Pages/Locations/Downtown-parks/Eau-Claire-Plaza.aspx,<Null>,,0,N,N,0,0,0,N,N,0,0,0,0,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,Y,Y,N,0,0,0,N,N,0,N,0,0,N,0,0,0,0,N,0,N,N,N,N,N,N,N,N,N,Y,Y,N,N,-114.069601008665,51.0533512196899,"(51.0533512196899, -114.069601008665)",,
Confederation Park Golf Course,Golf Course - Municipal,,3204 COLLINGWOOD DR NW,Recreation,Municipal,Recreation,Recreation,Confederation Park Golf Course,https://www.calgary.ca/CSPS/Recreation/Pages/Golf-courses/Confederation-Park.aspx,403-300-1002,"9 hole, driving range",0,N,N,0,0,0,N,N,0,0,0,0,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,N,N,N,0,0,0,N,N,0,N,0,0,N,0,0,0,0,N,0,N,N,Y,N,N,Y,Y,N,Y,Y,N,N,N,-114.101694926176,51.0791090325577,"(51.0791090325577, -114.101694926176)",,
Shouldice Arena,Arena,,1515 HOME RD NW,Recreation,Municipal,Recreation,Recreation,Shouldice Arena,https://www.calgary.ca/CSPS/Recreation/Pages/Arenas/Shouldice.aspx,403-268-2489,185'x85' ice rink / dry pad (150 seat cap),0,N,N,0,0,0,N,N,0,0,0,0,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,N,N,Y,1,0,0,N,N,0,Y,0,1,N,0,0,0,0,N,0,N,N,N,N,N,N,N,N,N,Y,N,N,N,-114.165429231963,51.0710702948452,"(51.0710702948452, -114.165429231963)",,
Glenmore Athletic Park,Athletic Park,,5300 19 ST SW,Recreation,Municipal,Recreation,Recreation,Glenmore Athletic Park,https://www.calgary.ca/csps/recreation/pages/athletic-parks/glenmore-athletic-park.aspx,403-268-2489,"5 soccer fields, 2 softball diamonds, 1 soccer/football field, touch football field, 4 flag football or a soccer field, baseball diamond, track, velodrome, shot put",0,N,N,0,0,0,N,N,0,0,0,0,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,N,N,N,0,0,0,N,N,0,N,0,0,N,0,0,0,0,Y,0,Y,Y,N,N,N,N,N,N,N,Y,N,N,N,-114.102677247221,51.0073985522768,"(51.0073985522768, -114.102677247221)",,
Calgary Elks Lodge & Golf Club,Golf Course - Semi-Private,,2502 6 ST NE,Private,Profit,Parks,Calgary Elks Lodge & Golf Club,Calgary Elks Lodge & Golf Club,https://www.calgaryelks.com/,403-276-7981,"18 hole, driving range",0,N,N,0,0,0,N,N,0,0,0,0,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,N,N,N,0,0,0,N,N,0,N,0,0,N,0,0,0,0,N,0,N,N,N,Y,Y,N,Y,N,N,N,N,Y,Y,-114.042789961092,51.075496276768,"(51.075496276768, -114.042789961092)",,
Southland (Ed Whalen Arena),Arena,,2000 SOUTHLAND DR SW,Recreation,Municipal,Recreation,Recreation,Ed Whalen and Joseph Kryczka Arenas,https://www.calgary.ca/CSPS/Recreation/Pages/Arenas/Ed-Whalen-and-Joe-Kryczka.aspx,403-268-2489,"189'x85' ice rink (388 seat cap), pro shop",0,N,N,0,0,0,N,N,0,0,0,0,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,N,N,Y,1,0,0,N,N,0,N,0,0,N,0,0,0,0,N,0,N,N,N,N,N,N,N,N,N,Y,N,N,N,-114.107363347817,50.9623707430896,"(50.9623707430896, -114.107363347817)",,
Mount Pleasant Sportsplex,Arena,,2408 6 ST NW,CA,Not-for-Profit,Parks,Mount Pleasant CA,Mount Pleasant Sportsplex,http://www.mpca.ca/index.php?option=com_content&view=article&id=59&Itemid=44,403-282-1314,Ice rink,0,N,N,0,0,0,N,N,0,0,0,0,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,N,N,Y,1,0,0,N,N,0,N,0,0,N,0,0,0,0,N,0,N,N,N,N,N,N,N,N,N,N,Y,N,N,-114.075440187257,51.0734176814686,"(51.0734176814686, -114.075440187257)",,
Woodbine Athletic Park,Athletic Park,,96 WOODFIELD DR SW,Recreation,Municipal,Recreation,Recreation,Woodbine Athletic Park,https://www.calgary.ca/CSPS/Recreation/Pages/Athletic-parks/Woodbine-Athletic-Park.aspx,403-268-2489,"2 soccer fields, 2 softball diamonds",0,N,N,0,0,0,N,N,0,0,0,0,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,N,N,N,0,0,0,N,N,0,N,0,0,N,0,0,0,0,Y,0,Y,N,N,N,N,N,N,N,N,Y,N,N,N,-114.11972479957,50.937368939897,"(50.937368939897, -114.11972479957)",,
Ernie Starr Arena,Arena,,4808 14 AV SE,Recreation,Municipal,Recreation,Recreation,Ernie Starr Arena,https://www.calgary.ca/CSPS/Recreation/Pages/Arenas/Ernie-Starr.aspx,403-268-2489,185'x85' ice rink (300 seat cap),0,N,N,0,0,0,N,N,0,0,0,0,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,N,N,Y,1,0,0,N,N,0,N,0,0,N,0,0,0,0,N,0,N,N,N,N,N,N,N,N,N,Y,N,N,N,-113.964927714611,51.0413687985538,"(51.0413687985538, -113.964927714611)",,
Calgary Canoe & Rowing Club,Canoe & Rowing Club,,7550 CROWCHILD TR SW,SRG,Not-for-Profit,Parks,Calgary Canoe Club,Calgary Canoe & Rowing Club,http://calgarycanoeclub.com/,403-246-5757,,0,N,N,0,0,0,N,N,0,0,0,0,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,N,N,N,0,0,0,N,N,0,N,0,0,N,0,0,0,0,N,0,N,N,N,N,N,N,N,N,N,N,Y,N,N,-114.117365885841,50.986475793243,"(50.986475793243, -114.117365885841)",,
Max Bell Arena,Arena,,1001 BARLOW TR SE,Recreation,Municipal,Recreation,Recreation,Max Bell Centre,https://www.calgary.ca/CSPS/Recreation/Pages/Arenas/Max-Bell-Centre.aspx,403-268-2489,"1 ice rink (2121 seat cap), 3 meeting rooms",0,N,N,0,0,3,N,N,0,0,0,0,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,N,N,Y,0,0,1,N,N,0,Y,0,1,N,0,0,0,0,N,0,N,N,N,N,N,N,N,N,N,Y,N,N,N,-114.004408687815,51.0419757623904,"(51.0419757623904, -114.004408687815)",,
Fox Hollow Golf Course,Golf Course - Public,,999 32 AV NE,Private,Profit,Parks,Fox Hollow Golf Course,Fox Hollow Golf Course,http://www.foxhollowcalgary.com/,403-277-4653,"18 hole, indoor driving range",0,N,N,0,0,0,N,N,0,0,0,0,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,N,N,N,0,0,0,N,N,0,N,0,0,N,0,0,0,0,N,0,N,N,Y,N,Y,N,N,Y,N,N,Y,N,Y,-114.031728907119,51.0746158156167,"(51.0746158156167, -114.031728907119)",,
Max Bell Arena,Arena,,1001 BARLOW TR SE,Recreation,Municipal,Recreation,Recreation,Max Bell Centre,http://www.calgary.ca/CSPS/Recreation/Pages/Arenas/Max-Bell-Centre.aspx,403-268-2489,1 ice rink,0,N,N,0,0,0,N,N,0,0,0,0,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,N,N,Y,0,1,0,N,N,0,N,0,0,N,0,0,0,0,N,0,N,N,N,N,N,N,N,N,N,Y,N,N,N,-114.003889398855,51.0422591661051,"(51.0422591661051, -114.003889398855)",,
Renfrew Athletic Park,Athletic Park,,810 13 AV NE,Recreation,Municipal,Recreation,Recreation,Renfrew Athletic Park,https://www.calgary.ca/CSPS/Recreation/Pages/Athletic-parks/Renfrew-Athletic-Park.aspx,403-268-2489,"2 soccer fields, fenced softball diamond, enclosed lit softball diamond",0,N,N,0,0,0,N,N,0,0,0,0,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,N,N,N,0,0,0,N,N,0,N,0,0,N,0,0,0,0,Y,0,Y,N,N,N,N,N,N,N,N,Y,N,N,N,-114.043918301457,51.0655890837516,"(51.0655890837516, -114.043918301457)",,
Frank McCool Arena,Arena,,1900 LAKE BONAVISTA DR SE,Recreation,Municipal,Recreation,Recreation,Frank McCool Arena,https://www.calgary.ca/CSPS/Recreation/Pages/Arenas/Frank-McCool.aspx,403-268-2489,"185'x85' ice rink (250 seat cap), meeting room",0,N,N,0,0,1,N,N,0,0,0,0,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,N,N,Y,1,0,0,N,N,0,N,0,0,N,0,0,0,0,N,0,N,N,N,N,N,N,N,N,N,Y,N,N,N,-114.050156978675,50.9360703503888,"(50.9360703503888, -114.050156978675)",,
Melcor YMCA at Crowfoot,Aquatic & Fitness Centre,,8100 JOHN LAURIE BV NW,RRC,Not-for-Profit,Parks,Crowfoot YMCA,Melcor YMCA at Crowfoot,http://www.ymcacalgary.org/program-descriptions/locations/crowfoot/,403-547-6576,"25m pool, teach pool, fitness/weights, gym, fitness studio, multi-purpose rooms, steam rooms, hot tubs",1,N,Y,1,2,0,Y,N,1,0,0,6,Y,N,N,N,N,N,N,0,0,N,Y,Y,N,N,N,N,N,N,0,0,0,N,N,0,N,0,0,N,0,0,0,0,N,0,N,N,N,N,N,N,N,N,N,N,Y,N,N,-114.195730843949,51.1288104172665,"(51.1288104172665, -114.195730843949)",,
Maple Ridge Golf Course,Golf Course - Municipal,,1240 MAPLEGLADE DR SE,Recreation,Municipal,Recreation,Recreation,Maple Ridge Golf Course,https://www.calgary.ca/CSPS/Recreation/Pages/Golf-courses/Maple-Ridge.aspx,403-300-1004,"18 hole, practice putting green",0,N,N,0,0,0,N,N,0,0,0,0,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,N,N,N,0,0,0,N,N,0,N,0,0,N,0,0,0,0,N,0,N,N,Y,N,Y,N,N,N,Y,Y,N,N,N,-114.032979798029,50.952302470546,"(50.952302470546, -114.032979798029)",,
Oakridge CA,Arena,,9504 OAKFIELD DR SW,CA,Not-for-Profit,Parks,Oakridge CA,Oakridge Community Association,http://www.oakridgecommunity.ca/,403-238-0007,"Ice rink, squash, hall",0,N,N,0,0,0,N,N,0,0,0,0,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,N,N,Y,1,0,0,N,N,0,N,0,0,Y,1,0,0,0,N,0,N,N,N,N,N,N,N,N,N,N,Y,N,N,-114.131738128112,50.968496033521,"(50.968496033521, -114.131738128112)",,
Richmond Green Golf Course,Golf Course - Municipal,,2539 33 AV SW,Recreation,Municipal,Recreation,Recreation,Richmond Green Golf Course,https://www.calgary.ca/CSPS/Recreation/Pages/Golf-courses/Richmond-Green.aspx,403-300-1006,9 hole,0,N,N,0,0,0,N,N,0,0,0,0,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,N,N,N,0,0,0,N,N,0,N,0,0,N,0,0,0,0,N,0,N,N,Y,N,N,Y,N,N,N,Y,N,N,N,-114.121921975328,51.0233812573123,"(51.0233812573123, -114.121921975328)",,
New Brighton Athletic Park,Athletic Park,,5801 130 AV SE,Recreation,Municipal,Recreation,Recreation,New Brighton Athletic Park,https://www.calgary.ca/CSPS/Recreation/Pages/Research-and-development/New-Brighton-Regional-Athletic-Park.aspx,403-268-2489,"4 multi-sport natural turf (2 football/rugby & 2 soccer/lacrosse/ultimate/field hockey), natural turf diamond, regional trail through park & 2 playgrounds",0,N,N,0,0,0,N,N,0,0,0,0,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,N,N,N,0,0,0,N,N,0,N,0,0,N,0,0,0,0,Y,0,Y,N,N,N,N,N,N,N,N,Y,N,N,N,-113.950623356038,50.9277260603203,"(50.9277260603203, -113.950623356038)",,
Optimist Athletic Park,Athletic Park,,5020 26 AV SW,Recreation,Municipal,Recreation,Recreation,Optimist Athletic Park,https://www.calgary.ca/CSPS/Recreation/Pages/Athletic-parks/Optimist-Athletic-Park.aspx,403-268-2489,"Soccer field, 2 field hockey fields, baseball diamond, 6 softball diamonds, 2 little league diamonds",0,N,N,0,0,0,N,N,0,0,0,0,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,N,N,N,0,0,0,N,N,0,N,0,0,N,0,0,0,0,Y,0,Y,N,N,N,N,N,N,N,N,Y,N,N,N,-114.161547461246,51.0332812631518,"(51.0332812631518, -114.161547461246)",,
Crowchild Twin Arenas,Arena,,185 SCENIC ACRES DR NW,SRG,Not-for-Profit,Parks,Crowchild Twin Arena Assoc.,Crowchild Twin Arenas,http://www.crowchildtwinarena.net/,403-239-0171,"2 ice rinks, 2 meeting rooms",0,N,N,0,0,2,N,N,0,0,0,0,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,N,N,Y,2,0,0,N,N,0,N,0,0,N,0,0,0,0,N,0,N,N,N,N,N,N,N,N,N,N,Y,N,N,-114.211718990565,51.112061205534,"(51.112061205534, -114.211718990565)",,
Shaganappi Golf Course,Golf Course - Municipal,,1200 26 ST SW,Recreation,Municipal,Recreation,Recreation,Shaganappi Point Golf Course,https://www.calgary.ca/CSPS/Recreation/Pages/Golf-courses/Shaganappi-Point.aspx,403-300-1007,"18 hole, 9 hole, putting green",0,N,N,0,0,0,N,N,0,0,0,0,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,N,N,N,0,0,0,N,N,0,N,0,0,N,0,0,0,0,N,0,N,N,Y,N,Y,Y,Y,N,Y,Y,N,N,N,-114.124778617383,51.0455008088225,"(51.0455008088225, -114.124778617383)",,
Calgary Soccer Centre,Soccer Centre,,7000 48 ST SE,Recreation,Municipal,Recreation,Recreation,Calgary Soccer Centre,https://www.calgary.ca/CSPS/Recreation/Pages/Calgary-Soccer-Centre/Calgary-Soccer-Centre.aspx,403-279-8453,"8 indoor regulation fields, 3 outdoor turf fields, natural outdoor turf field ",0,N,N,0,0,0,N,N,0,0,0,0,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,N,N,N,0,0,0,N,N,0,Y,8,0,N,0,0,0,0,Y,3,N,N,N,N,N,N,N,N,N,Y,N,N,N,-113.960928202277,50.9924432440799,"(50.9924432440799, -113.960928202277)",,
East Calgary Twin Arenas,Arena,,299 ERIN WOODS DR SE,SRG,Not-for-Profit,Parks,East Calgary Twin Arena Society,East Calgary Twin Arenas,http://www.eastcalgarytwinarenas.com/league.php?scriptName=HOME&leagueID=5759,403-273-8919,2 ice rinks,0,N,N,0,0,0,N,N,0,0,0,0,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,N,N,Y,2,0,0,N,N,0,N,0,0,N,0,0,0,0,N,0,N,N,N,N,N,N,N,N,N,N,Y,N,N,-113.964440498914,51.0265949581598,"(51.0265949581598, -113.964440498914)",,
Father David Bauer Arena,Arena,,2424 UNIVERSITY DR NW,Recreation,Municipal,Recreation,Recreation,Father David Bauer and Norma Bush Arenas,https://www.calgary.ca/CSPS/Recreation/Pages/Arenas/Father-David-Bauer-and-Norma-Bush.aspx,403-268-2489,"200'x100' ice rink (1750 seat cap), meeting room",0,N,N,0,0,1,N,N,0,0,0,0,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,N,N,Y,0,0,1,N,N,0,Y,0,1,N,0,0,0,0,N,0,N,N,N,N,N,N,N,N,N,Y,N,N,N,-114.126333236556,51.0737711222478,"(51.0737711222478, -114.126333236556)",,
Shouldice Athletic Park,Athletic Park,,1515 HOME RD NW,Recreation,Municipal,Recreation,Recreation,Shouldice Athletic Park,https://www.calgary.ca/CSPS/Recreation/Pages/Athletic-parks/Shouldice-Athletic-Park.aspx,403-268-2489,"3 artificial turf fields, 4 soccer fields, 5 softball diamonds, 3 soccer/football fields, 1 baseball diamond, 4 softball fields w/ fence/lights",0,N,N,0,0,0,N,N,0,0,0,0,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,N,N,N,0,0,0,N,N,0,N,0,0,N,0,0,0,0,Y,3,Y,N,N,N,N,N,N,N,N,Y,N,N,N,-114.169430407254,51.0739847410177,"(51.0739847410177, -114.169430407254)",,
